Index,Product Name,Category,Selling Price,Product Url,description
0,"Kurio Glow Smartwatch for Kids with Bluetooth, Apps, Camera & Games, Blue",Toys & Games | Kids' Electronics | Electronic Learning Toys,$31.30,https://www.amazon.com/Kurio-Smartwatch-Bluetooth-Camera-Games/dp/B07TFD5D55,"Kurio Glow Smartwatch: Fun, Safe & Educational!  This kids' smartwatch boasts Bluetooth connectivity, built-in apps & games, and a camera – all in a vibrant blue design. Perfect for learning & play!  #kidssmartwatch #kidselectronics #educationaltoys #kurioglow"
2,Barbie Fashionistas Doll Wear Your Heart,Toys & Games | Dolls & Accessories | Dolls,$15.99,https://www.amazon.com/Barbie-FJF44-Love-Fashion-Doll/dp/B0751ZH2ZT,"Express your style with Barbie Fashionistas Doll Wear Your Heart! This fashionable doll boasts a unique outfit and accessories, perfect for imaginative play.  A great gift for kids aged 3+.  Collect them all! #Barbie #Fashionistas #Doll #Toys #GirlsToys #FashionDoll #Play"
3,"Redcat Racing Aluminum Rear Lower Suspension Arms (2 Piece), Blue",Toys & Games | Hobbies | Remote & App Controlled Vehicles & Parts | Remote & App Controlled Vehicle Parts,$14.40,https://www.amazon.com/Redcat-Racing-Aluminum-Lower-Suspension/dp/B010CYHZZ6,Upgrade your Redcat Racing vehicle's performance with these durable blue aluminum rear lower suspension arms.  This 2-piece set enhances stability and control for a smoother ride.  Perfect for RC enthusiasts seeking improved handling and durability.
4,"Tru-Ray Heavyweight Construction Paper Pad, 10 Assorted Colors, 9"" x 12"", 40 Sheets","Arts, Crafts & Sewing | Crafting | Paper & Paper Crafts | Paper | Construction Paper",$10.10,https://www.amazon.com/Tru-Ray-Heavyweight-Construction-Assorted-Colors/dp/B01ELJGWKW,"Unleash your creativity with Tru-Ray Heavyweight Construction Paper! This 40-sheet pad features 10 vibrant assorted colors on 9""x12"" sheets, perfect for all your crafting needs.  Thick and durable, ideal for a wide range of projects.  Get yours today!"
5,"Shapes Structured Vinyl Soft Seating with Durable Frame- Round Cylinder Stool 18""H- Blue",Home & Kitchen | Furniture | Kids' Furniture | Chairs & Seats | Stools,$146.76,https://www.amazon.com/Sprogs-Vinyl-Seating-Round-SPG-1000BL/dp/B072PTSW9J,"Adorable & Durable Round Blue Stool for Kids!  This 18"" high vinyl-covered cylinder stool features a sturdy frame, perfect for little ones.  Easy to clean and built to last. Ideal for playrooms, bedrooms, and more.  Shop now!"
6,"Mongoose Legion Sidewalk Freestyle BMX Bike for Kids, Children and Beginner-Level Riders, Featuring Hi-Ten Steel Frame, Micro Drive 25x9T or 36x16T BMX Gearing, and 16-18-20-Inch Wheels",Sports & Outdoors | Outdoor Recreation | Cycling | Kids' Bikes & Accessories | Kids' Bikes,$179.99,https://www.amazon.com/Mongoose-Legion-Freestyle-20-Inch-Wheels/dp/B07G1N7237,"Unleash your child's inner BMX rider with the Mongoose Legion Sidewalk Freestyle Bike!  Built with a durable Hi-Ten steel frame and available in 16"", 18"", or 20"" wheel sizes, this bike is perfect for kids and beginners. Featuring Micro Drive gearing (25x9T or 36x16T) for smooth rides, it's ready for sidewalks and beyond.  Get yours today!"
7,Team Redcat 505202 Center Gear for 3Mm Screws (33T).,Hobbies | Remote & App Controlled Vehicles & Parts | Remote & App Controlled Vehicle Parts | Vehicle Bodies & Scale Accessories | Vehicle Scale Accessories,$16.82,https://www.amazon.com/Team-Redcat-Center-Gear-Screw/dp/B01F3M6FN0,"Upgrade your Redcat 3mm screw-compatible RC car with this genuine Team Redcat 505202 33T Center Gear.  Ensures smooth, reliable performance.  Perfect replacement part for repairs and maintenance.  #Redcat #RCcar #RCparts #CenterGear #33T"
8,Mexican Train Dominoes To Go,Toys & Games | Games & Accessories | Tile Games,$17.98,https://www.amazon.com/Mexican-Train-Dominoes-To-Go/dp/B001E747X4,"Take your favorite domino game on the go!  Mexican Train Dominoes To Go provides all the fun of the classic game in a portable and convenient size. Perfect for travel, family gatherings, or anytime you want a quick and engaging game.  Includes everything you need to play."
9,Pirate Buccaneer Sword,Toys & Games | Dress Up & Pretend Play | Pretend Play,$16.52,https://www.amazon.com/Forum-Novelties-Pirate-Buccaneer-Sword/dp/B008D6PUE4,"Shiver me timbers!  Become the ultimate pirate with this realistic Pirate Buccaneer Sword! Perfect for swashbuckling adventures and imaginative pretend play.  Durable, safe, and fun for kids.  Ahoy, matey!"
10,"Qualatex Foil Balloon 13955 Little Man Bow-tie, 18"", Multicolor",Toys & Games | Party Supplies | Balloons,$6.01,https://www.amazon.com/Qualatex-Foil-Balloon-Bow-tie-Multicolor/dp/B00IGA0H9K,"Make your party extra special with this Qualatex Foil Balloon!  This adorable 18"" Little Man Bow-tie balloon in multicolor adds a fun, festive touch to any celebration. Perfect for birthdays, baby showers, or any party needing a whimsical flair.  High-quality foil balloon ensures long-lasting fun. Shop now!"
